Customer_ID,Customer_Name,Gender,Age,Country,Industry,Company_Size,Subscription_Plan,Billing_Cycle,Monthly_Fee,Customer_Tenure_Months,Auto_Renew,Avg_Login_Days_Per_Month,Avg_Session_Duration_Min,Features_Used,Storage_Usage_GB,API_Usage,Mobile_App_Usage,Support_Tickets,Avg_Response_Time_Hours,Training_Webinars_Attended,Last_Month_Login_Count,NPS_Score,Satisfaction_Rating,Total_Revenue,Discount_Percentage,Payment_Method,Late_Payments,Churn,Churn_Reason,Legacy_System_ID
CUST100038,Susan Miller,Female,37,United States,Healthcare,Small,Basic,Monthly,34.03,67,No,29,84,3,339.71,Low,Yes,15,8.7,4,6,-70,4,2279.74,17,Credit Card,6,Yes,Competitor,LEG-16209
CUST100039,Matthew Lee,Female,50,USA,IT,Medium,Basic,Quarterly,21.75,70,No,22,4,15,329.28,High,Yes,7,6,8,5,60,2,1522.81,24,CREDIT CARD,2,No,,
CUST100040,Emma Wilson,Male,47,Germany,Healthcare,Enterprise,Basic,Monthly,42.33,31,Yes,2,51,15,132.4,Low,No,3,19.9,0,16,99,2,1312.35,28,CREDIT CARD,8,No,,
CUST100041,Michael Harris,Female,39,Australia,Finance,Small,Standard,Monthly,70.49,48,No,15,57,10,392.89,High,Yes,11,44.2,9,20,-41,5,3383.46,19,Bank Transfer,3,No,,
CUST100042,Margaret Perez,Female,49,Germany,Retail,Small,Basic,Monthly,46.03,34,Yes,23,120,12,92.02,Medium,Yes,3,21,9,0,40,4,1564.99,7,PayPal,6,No,,LEG-29988
CUST100043,Patricia Martinez,Male,62,Netherlands,Retail,Small,Basic,Monthly,20,29,No,11,4,10,182.82,Low,Yes,8,35.8,2,23,97,5,580,20,credit card,1,No,,
CUST100044,Fatima Harris,Female,21,usa,Retail,Small,Standard,Monthly,96.81,39,Yes,14,109,10,458.34,Low,No,7,14,10,10,71,4,3775.51,18,PayPal,0,No,,
CUST100045,Sarah Harris,Male,61,United States,Manufacturing,Small,Basic,Annual,20,38,Yes,13,3,2,11.37,High,No,10,18.1,5,27,59,3,760,6,Credit Card,4,No,,
CUST100046,Hans Lopez,Male,36,usa,IT,Medium,Standard,Monthly,95.82,65,Yes,26,47,7,262.26,Low,No,1,4.6,2,23,16,4,6228.29,3,credit card,4,No,,
CUST100047,Marie Rodriguez,Female,58,Canada,Retail,Small,Basic,Quarterly,20,39,Yes,21,32,14,108.53,Low,Yes,6,40.5,8,17,58,2,780,15,Credit Card,3,No,,
CUST100048,ELIZABETH LEE,Female,24,usa,Education,Medium,Standard,Annual,76.49,71,Yes,0,65,9,118.63,Low,No,5,19.5,4,14,22,1,5430.72,23,Credit Card,6,No,,
CUST100049,Margaret Jones,Male,60,Canada,IT,Medium,Basic,Monthly,20,21,Yes,17,33,9,147.9,Medium,Yes,12,25.5,1,19,30,5,420,4,PayPal,8,No,,
CUST100050,Hans Garcia,Female,40,India,Retail,Medium,Standard,Monthly,56.44,69,Yes,15,7,1,389.97,Medium,Yes,9,8.3,4,9,73,3,3894.6,22,Credit Card,8,No,,
CUST100051,Olga Smith,Male,62,United States,Information Technology,Enterprise,Basic,Annual,20,49,Yes,16,100,8,35.27,Low,Yes,1,28.6,6,20,-81,1,980,5,Credit Card,5,No,,
CUST100052,AHMED WHITE,Female,39,Singapore,Healthcare,Medium,Standard,Monthly,82.34,62,Yes,10,6,2,381.98,Medium,Yes,15,5.5,0,1,75,2,5104.8,28,Bank Transfer,3,No,,
CUST100053,ahmed martin,Male,54,Singapore,Finance,Small,Basic,Monthly,31.21,38,Yes,7,37,6,245.68,Medium,No,7,24,1,21,-6,3,1185.96,12,Bank Transfer,7,No,,
CUST100054,charles perez,Male,47,Australia,IT,Small,Basic,Monthly,44.13,35,No,15,95,5,120.36,Medium,Yes,11,43.1,4,11,-28,4,1544.61,26,PayPal,5,No,,
CUST100055,BARBARA WHITE,Male,29,France,Retail,Medium,Standard,Monthly,78.59,12,Yes,24,86,9,283.81,Low,Yes,15,45.4,3,7,1,3,943.03,16,PayPal,5,No,,
CUST100056,Matthew Wilson,Male,31,India,Finance,Medium,Standard,Monthly,75.94,21,Yes,23,44,15,98.91,Medium,No,4,44.7,1,26,35,3,1594.74,28,Bank Transfer,7,No,,
CUST100057,DANIEL MOORE,Male,44,United Kingdom,information technology,Medium,Basic,Annual,50.62,6,Yes,13,66,14,431.84,Low,Yes,8,44.1,10,21,-89,5,303.69,13,Bank Transfer,5,No,,
CUST100058,Mary Jones,Female,42,Australia,Healthcare,Medium,Standard,Monthly,77.6,69,Yes,22,81,5,384.96,Low,Yes,5,28.5,4,8,-94,5,5354.15,27,Bank Transfer,6,No,,
CUST100059,elizabeth brown,Female,48,usa,Healthcare,Medium,Basic,Annual,20,23,Yes,20,74,13,155.27,Medium,Yes,3,12.7,10,24,81,2,460,14,Credit Card,2,No,,
CUST100060,sarah lee,Female,57,Canada,IT,Medium,Basic,Monthly,20,11,Yes,7,70,14,63.69,Medium,Yes,14,38.4,4,9,-52,5,220,20,PayPal,5,Yes,Low Usage,
CUST100061,PRIYA ANDERSON,Male,55,France,Education,Small,Standard,Monthly,98.24,55,Yes,26,65,10,475.47,Low,No,12,4.1,1,8,-38,5,5403.32,11,Credit Card,5,No,,
CUST100062,Pierre Taylor,Female,22,Germany,Manufacturing,Medium,Premium,Quarterly,149.08,3,Yes,4,105,13,439.72,Medium,Yes,12,46.8,4,4,-90,5,447.23,28,Credit Card,8,Yes,Poor Support,
CUST100063,patricia thompson,Male,42,United Kingdom,Finance,Small,Standard,Quarterly,71.3,57,Yes,25,103,8,230.93,Medium,No,12,37.3,4,10,0,5,4064.08,10,Credit Card,3,No,,
CUST100064,Matthew Martin,Female,26,Germany,Manufacturing,Small,Basic,Annual,20,39,No,16,70,12,352.08,Low,Yes,0,,6,3,-43,1,780,13,Bank Transfer,8,No,,
CUST100065,Matthew Taylor,Female,43,Netherlands,Manufacturing,Enterprise,Standard,Monthly,46.91,55,Yes,21,108,12,353.33,High,Yes,12,46.6,3,23,97,4,2579.9,7,Bank Transfer,1,No,,
CUST100066,Patricia Taylor,Male,44,USA,Healthcare,Small,Standard,Monthly,99.94,44,Yes,23,60,11,153.24,Low,Yes,14,29.6,8,3,19,1,4397.57,16,Credit Card,6,No,,
CUST100067,Ahmed Martinez,Male,65,United Kingdom,Manufacturing,Small,Basic,Annual,20,58,No,11,97,9,246.35,Medium,Yes,12,2.5,5,8,-3,2,1160,22,Credit Card,2,Yes,Missing Features,
CUST100068,Anthony Smith,Female,37,United States,Education,Small,Standard,Monthly,55.59,49,Yes,30,78,7,64.7,Medium,Yes,0,,4,2,-92,5,2723.84,29,CREDIT CARD,2,No,,
CUST100069,Susan Wilson,Male,40,Netherlands,Education,Small,Basic,Monthly,20.62,57,Yes,3,37,3,407.25,Low,Yes,11,32.3,8,27,55,4,1175.34,26,Credit Card,5,No,,
CUST100070,Ava Miller,Female,43,Australia,IT,Small,Standard,Monthly,63.35,30,Yes,0,13,4,136.93,High,Yes,1,3.4,8,14,90,5,1900.49,4,Credit Card,3,No,,
CUST100071,Barbara Gonzalez,Female,25,United states,Education,Medium,Premium,Monthly,141.65,25,No,23,40,10,351.08,Low,Yes,2,22.3,1,5,-44,3,3541.35,21,Credit Card,4,No,,
CUST100072,Ava Sanchez,Male,22,Germany,IT,Small,Basic,Monthly,35.75,61,No,9,20,4,241.74,Low,No,5,33.7,9,28,-95,3,2180.51,12,Credit Card,3,Yes,Low Usage,
CUST100073,Mary Davis,Male,52,Australia,Retail,Enterprise,Basic,Monthly,42.18,23,Yes,2,85,1,202.11,High,Yes,14,40.1,10,30,98,2,970.12,0,CREDIT CARD,6,Yes,Price,
CUST100074,Olga Johnson,Male,33,United States,information technology,Small,Basic,Monthly,24.7,49,No,25,83,12,42.74,High,Yes,9,8.3,3,27,-6,3,1210.32,16,Credit Card,4,No,,
CUST100075,Pierre Rodriguez,Female,36,France,Education,Medium,Basic,Monthly,29.88,12,No,3,50,5,74.1,Medium,Yes,12,4.4,9,3,-2,2,358.5,21,Credit Card,8,Yes,Performance Issues,
CUST100076,liam rodriguez,Male,65,India,Education,Medium,Standard,Annual,56.6,61,Yes,16,70,13,385.1,Medium,Yes,6,10.7,1,3,-73,3,3452.33,5,PayPal,1,No,,
CUST100077,Sarah Martin,Male,31,United States,Healthcare,Small,Standard,Quarterly,79.26,23,No,4,105,9,460.77,Medium,Yes,12,21.9,7,1,-92,1,1823.02,12,Bank Transfer,1,Yes,Poor Support,
CUST100078,Jennifer Taylor,Male,61,Netherlands,Finance,Small,Standard,Monthly,66.48,62,Yes,3,49,15,499.7,Low,Yes,0,,5,25,12,,4121.66,9,PayPal,5,No,,
CUST100079,Daniel White,Female,48,usa,IT,Medium,Standard,Annual,64.9,68,Yes,17,68,11,161.12,Medium,Yes,4,34.3,2,30,-23,5,4413.11,5,Credit Card,3,No,,
CUST100080,Ava Martin,Female,32,USA,IT,Small,Basic,Quarterly,40.03,64,Yes,6,11,6,9.21,Low,No,1,31.6,3,8,-64,4,2561.73,0,Bank Transfer,4,No,,
CUST100081,Thomas Gonzalez,Female,63,Canada,Manufacturing,Small,Basic,Monthly,20,48,Yes,7,9,9,155.5,Low,Yes,11,24.6,2,30,81,5,960,14,credit card,0,No,,
CUST100082,Thomas Harris,Female,48,USA,Retail,Medium,Premium,Quarterly,166.09,43,Yes,11,17,3,260.67,Medium,No,9,45.9,3,4,-16,4,7142.02,29,PayPal,2,No,,
CUST100082,Thomas Harris,Female,48,USA,Retail,Medium,Premium,Quarterly,166.09,43,Yes,11,17,3,260.67,Medium,No,9,45.9,3,4,-16,4,7142.02,29,PayPal,2,No,,
CUST100083,Richard Garcia,Female,34,Australia,Retail,Small,Premium,Annual,149.73,34,Yes,8,107,3,492.69,Low,No,6,45.2,0,4,-26,1,5090.72,20,Credit Card,2,No,,LEG-97872
CUST100084,Susan Smith,Female,40,United Kingdom,Education,Enterprise,Basic,Monthly,20,8,Yes,30,20,9,145.63,Low,No,8,19.7,8,17,78,2,160,2,Credit Card,7,No,,
CUST100085,Robert Williams,Male,37,USA,Healthcare,Small,Premium,Annual,176.97,49,Yes,12,18,6,267.1,Low,Yes,9,13.7,2,16,17,5,8671.6,8,credit card,3,No,,
CUST100086,Fatima Perez,Male,58,Netherlands,Finance,Small,Premium,Monthly,162.66,16,Yes,17,13,6,466.39,Low,Yes,0,,10,26,-98,3,2602.49,30,Bank Transfer,7,No,,
CUST100087,ananya wilson,Female,41,United Kingdom,Finance,Medium,Standard,Monthly,45.12,39,No,27,61,7,10.14,Medium,No,11,28.6,10,28,-65,3,1759.61,2,PayPal,4,No,,
CUST100088,Wei Jones,Male,21,Canada,Information Technology,Small,Standard,Monthly,85.13,14,Yes,12,100,3,12.28,Low,No,0,,5,27,-24,4,1191.83,27,CREDIT CARD,2,No,,
CUST100089,Liam Thomas,Male,51,United Kingdom,Education,Enterprise,Basic,Monthly,34.51,29,Yes,29,55,15,159.07,Low,Yes,5,7,3,2,-93,1,1000.88,23,Credit Card,5,No,,
CUST100090,Emma Jones,Female,54,France,Education,Small,Premium,Monthly,131.47,36,Yes,21,102,9,334.48,Low,Yes,15,21.4,0,20,-81,4,4732.96,13,PayPal,1,No,,
CUST100091,Karen Lee,Female,38,USA,Finance,Medium,Basic,Annual,24.5,38,Yes,18,27,15,123.4,Medium,Yes,3,45.8,5,26,90,3,931.06,12,CREDIT CARD,2,No,,
CUST100092,Karen Wilson,Male,62,usa,Healthcare,Medium,Basic,Quarterly,37.71,12,No,10,35,14,345.73,Low,No,5,39.2,4,24,10,2,452.54,8,Credit Card,8,Yes,Poor Support,
CUST100093,Michael Lopez,Male,39,France,Healthcare,Small,Standard,Annual,43.15,60,Yes,4,54,10,369.18,Medium,Yes,2,41.5,1,4,-11,4,2588.98,18,CREDIT CARD,1,No,,LEG-69979
CUST100094,Elizabeth Martinez,Male,32,United States,Retail,Enterprise,Premium,Quarterly,162.37,23,Yes,9,20,1,48.93,High,No,0,,3,17,-8,,3734.61,27,Credit Card,8,No,,
CUST100095,Ananya Jackson,Male,52,France,Retail,Medium,Premium,Annual,144.82,47,Yes,16,28,4,359.77,High,No,2,9.7,8,18,6,2,6806.64,5,PayPal,7,No,,
CUST100096,Anthony Hernandez,Male,25,Australia,IT,Small,Premium,Monthly,147.96,17,Yes,4,53,6,106.29,High,Yes,15,39.4,6,19,-69,2,2515.28,10,Credit Card,7,Yes,Low Usage,LEG-35333
CUST100097,Noah Williams,Female,65,France,Retail,Medium,Basic,Annual,42.69,51,Yes,23,105,2,476.26,Medium,Yes,0,,9,4,78,3,2177.31,6,Credit Card,6,No,,
CUST100098,Susan Brown,Female,51,United States,Retail,Small,Standard,Annual,59.15,57,Yes,16,120,2,321.71,Low,No,12,11.9,2,20,-45,4,3371.31,0,CREDIT CARD,6,No,,
CUST100099,SUSAN LEWIS,Male,34,Netherlands,IT,Small,Premium,Quarterly,134.07,6,Yes,23,36,3,405.46,High,No,4,23,10,16,94,2,804.41,12,Credit Card,5,No,,
CUST100100,Joseph Ramirez,Male,23,United Kingdom,Retail,Small,Premium,Quarterly,161.24,49,No,25,9,5,28.53,High,No,2,21.2,7,5,71,3,7900.83,15,PayPal,6,No,,
CUST100101,Karen Lee,Female,46,United States,Finance,Small,Standard,Annual,72.13,2,No,29,70,9,52.76,Medium,Yes,11,39.9,3,26,55,5,144.25,3,,3,No,,
CUST100102,Charles Davis,Male,46,India,Education,Medium,Standard,Monthly,63.9,60,Yes,15,110,11,311.68,Medium,No,0,,10,26,-4,4,3834.24,26,PayPal,3,No,,
CUST100103,Fatima Robinson,Male,56,United States,Manufacturing,Medium,Premium,Monthly,130.2,31,No,18,43,1,137.84,Low,No,5,2.5,2,4,-63,2,4036.21,18,Bank Transfer,4,Yes,Competitor,
CUST100104,David White,Male,33,United Kingdom,Healthcare,Small,Standard,Annual,64.46,2,No,30,59,6,396.86,Low,Yes,1,38.5,2,21,-51,2,128.92,23,,7,No,,
CUST100105,David Perez,Female,29,Germany,Finance,Small,Basic,Monthly,20,53,No,7,93,3,15.06,Low,Yes,0,,8,11,-53,3,1060,23,PayPal,1,Yes,Performance Issues,
CUST100106,Ahmed Wilson,Male,38,USA,Manufacturing,Small,Standard,Monthly,66.68,51,No,19,57,4,223.85,Low,No,1,9.5,4,22,-35,3,3400.81,23,Credit Card,3,No,,
CUST100107,Chen Rodriguez,Male,57,usa,IT,Enterprise,Premium,Quarterly,126.42,54,Yes,2,91,15,363.5,Low,No,0,,9,10,-69,5,6826.7,7,PayPal,5,No,,
CUST100108,patricia williams,Female,61,Canada,Healthcare,Small,Basic,Monthly,20,1,Yes,16,15,15,337.76,Low,Yes,10,46.9,8,13,23,5,20,8,credit card,7,No,,
CUST100109,Sarah Ramirez,Female,36,Canada,Finance,Medium,Standard,Annual,76.3,66,No,30,68,15,327.21,Low,Yes,2,18.7,2,9,-40,4,5035.73,19,Credit Card,0,No,,
CUST100110,JENNIFER WILSON,Female,22,Australia,IT,Small,Premium,Quarterly,148.92,27,No,15,41,7,294.61,Low,Yes,1,24.6,3,4,-8,4,4020.91,4,Bank Transfer,0,No,,
CUST100111,Wei Miller,Female,25,India,Education,Medium,Standard,Annual,67.21,58,No,29,102,6,91.22,Medium,Yes,10,35.5,9,0,81,5,3898.01,19,credit card,0,No,,
CUST100112,Wei Martinez,Female,45,United Kingdom,information technology,Small,Basic,Quarterly,20,1,No,2,22,4,483.51,Medium,No,1,42.9,7,4,-97,1,20,14,Bank Transfer,5,Yes,Performance Issues,
CUST100113,Olga Moore,Male,21,Canada,Education,Small,Standard,Quarterly,56.28,43,No,2,29,14,272.42,Medium,No,12,8,10,17,88,4,2420.13,5,Credit Card,1,No,,
CUST100114,Nancy Garcia,Male,53,United states,Retail,Small,Standard,Monthly,65.86,56,Yes,30,103,4,37.24,Medium,No,0,,5,15,-25,3,3688.23,12,PayPal,6,No,,
CUST100115,charles sanchez,Male,21,United Kingdom,Retail,Enterprise,Standard,Monthly,69.61,52,Yes,1,8,4,65.32,Low,Yes,9,18.7,8,22,-7,1,3619.52,6,Bank Transfer,2,No,,
CUST100116,James Thompson,Male,39,USA,IT,Medium,Basic,Monthly,20,18,No,26,75,2,172.87,Low,Yes,3,23.6,6,23,-81,2,360,7,PayPal,6,Yes,Price,
CUST100117,Karen Perez,Male,56,Germany,Finance,Small,Premium,Quarterly,152.78,9,Yes,13,114,6,362.2,Low,Yes,12,27.6,10,15,76,1,1374.98,10,credit card,1,No,,
CUST100118,Priya Gonzalez,Male,41,USA,Manufacturing,Small,Basic,Annual,27.73,43,No,4,96,11,8.57,Medium,Yes,8,11,3,24,69,2,1192.36,21,Credit Card,1,No,,
CUST100119,richard jackson,Female,51,India,Finance,Medium,Standard,Monthly,54.57,72,Yes,17,13,9,96.76,Low,Yes,3,28.6,10,4,-18,2,3929.11,2,Bank Transfer,7,No,,
CUST100120,Jennifer Moore,Female,35,usa,IT,Small,Standard,Quarterly,88.36,5,No,30,97,12,120.3,Medium,Yes,11,2.7,1,25,56,1,441.82,19,Credit Card,6,Yes,Poor Support,
CUST100121,PATRICIA MARTIN,Male,56,usa,Retail,Medium,Basic,Monthly,20,71,No,25,39,15,111.39,Medium,Yes,5,45.5,5,5,90,5,1420,17,Credit Card,3,No,,
CUST100122,margaret williams,Male,39,United Kingdom,Retail,Small,Basic,Quarterly,20,2,Yes,5,75,11,449.54,Medium,No,0,,6,19,28,5,40,12,Credit Card,5,No,,
CUST100123,Fatima Gonzalez,Male,54,Canada,Healthcare,Small,Basic,Annual,20,24,Yes,9,46,5,453.38,Low,No,4,8.3,4,17,87,2,480,5,Credit Card,2,No,,
CUST100124,ahmed johnson,Male,63,India,Finance,Medium,Basic,Monthly,20,68,No,2,82,13,174.87,Low,Yes,13,4.4,5,4,56,3,1360,17,Bank Transfer,3,No,,
CUST100125,LINDA ANDERSON,Male,37,India,Finance,Small,Premium,Quarterly,123.88,35,No,3,88,1,391.2,High,Yes,12,35.1,7,2,-62,3,4335.75,17,credit card,4,Yes,Poor Support,
CUST100126,Linda Martinez,Male,30,Netherlands,IT,Small,Premium,Monthly,166,67,Yes,14,90,12,118.46,Medium,Yes,13,22.8,3,10,3,3,11122.11,18,Bank Transfer,2,No,,
CUST100127,Priya Jones,Male,62,United Kingdom,Healthcare,Enterprise,Premium,Monthly,163.72,35,Yes,17,21,2,42.94,High,No,5,37.7,1,3,-52,5,5730.2,11,PayPal,4,No,,
CUST100128,Ananya Brown,Female,51,United States,Manufacturing,Medium,Premium,Quarterly,136.95,18,Yes,6,84,6,109,Low,Yes,9,2,9,19,16,1,2465.01,23,Bank Transfer,6,Yes,Poor Support,
CUST100129,Linda Moore,Female,60,France,Education,Enterprise,Basic,Monthly,34.69,57,Yes,8,92,1,149.22,Medium,No,1,34,3,2,69,3,1977.44,2,PayPal,5,No,,
CUST100130,Ahmed Garcia,Female,37,India,Retail,Small,Standard,Monthly,60.44,69,Yes,2,56,6,120.11,Low,No,4,28.6,8,8,40,1,4170.07,14,PayPal,7,No,,
CUST100131,Barbara Ramirez,Male,36,United States,Healthcare,Enterprise,Standard,Quarterly,54.81,30,Yes,24,37,5,58.72,Medium,Yes,13,34.4,6,0,-84,3,1644.22,1,Bank Transfer,6,No,,
CUST100132,Ava Moore,Male,25,United States,Retail,Medium,Basic,Annual,21.3,8,Yes,8,63,6,159.98,Medium,No,3,36.1,1,1,57,2,170.38,21,Credit Card,1,No,,
CUST100133,Sarah Hernandez,Male,55,Canada,Healthcare,Small,Standard,Quarterly,66.15,6,Yes,15,79,8,492.38,Medium,No,1,41.8,2,12,23,2,396.9,18,CREDIT CARD,2,No,,
