customer_id,customer_name,gender,age,country,industry,company_size,subscription_plan,billing_cycle,monthly_fee,customer_tenure_months,auto_renew,avg_login_days_per_month,avg_session_duration_min,features_used,storage_usage_gb,api_usage,mobile_app_usage,support_tickets,avg_response_time_hours,training_webinars_attended,last_month_login_count,nps_score,satisfaction_rating,total_revenue,discount_percentage,payment_method,late_payments,churn,churn_reason,customer_lifecycle,customer_engagement,support_experience,age_group,revenue_segment,retention_priority
CUST100029,Chen Lee,Female,54,Netherlands,Healthcare,Small,Premium,Annual,137.82,23,Yes,1,62,3,293.74,High,No,1,24.3,6,12,47,2,3169.86,5,Credit Card,4,No,,Developing Customer,Occasional User,Occasional Assistance,47-56,Business Account,Monitor Engagement
CUST100030,Liam Thompson,Male,65,Australia,Healthcare,Small,Basic,Monthly,32.03,22,Yes,6,117,6,123.85,Medium,No,13,47.1,2,20,-26,3,704.66,5,Credit Card,4,No,,Developing Customer,Consistent User,Ongoing Support,57+,Starter Account,Monitor Engagement
CUST100031,Joseph Robinson,Female,34,United States,Retail,Enterprise,Standard,Monthly,84.94,51,Yes,23,32,13,312.03,Medium,Yes,11,2.6,4,25,-65,3,4331.94,28,Paypal,7,No,,Loyal Customer,Daily User,Ongoing Support,27-36,Enterprise Account,Monitor Engagement
CUST100032,Thomas Martinez,Male,62,Canada,IT,Small,Basic,Monthly,39.49,56,No,17,19,10,207.07,High,No,12,29.2,8,1,-16,2,2211.44,9,Credit Card,1,No,,Loyal Customer,Rare Visitor,Ongoing Support,57+,Business Account,Immediate Outreach
CUST100033,Liam Lopez,Female,62,India,IT,Medium,Standard,Monthly,43.79,7,Yes,19,41,6,223.51,High,No,9,5.1,3,11,-98,5,306.53,30,Credit Card,5,Yes,Low Usage,New Customer,Occasional User,Frequent Assistance,57+,Starter Account,Monitor Engagement
CUST100034,Patricia Anderson,Male,39,United States,IT,Small,Basic,Monthly,49.41,45,Yes,19,97,10,351.87,Medium,Yes,4,43.3,6,29,-12,5,2223.45,24,Paypal,5,No,,Established Customer,Daily User,Occasional Assistance,37-46,Business Account,Monitor Engagement
CUST100035,Ahmed Garcia,Male,56,United States,Finance,Medium,Basic,Monthly,20,41,Yes,8,76,7,438.89,Low,No,5,4.5,6,24,-66,3,820,18,Credit Card,4,No,,Established Customer,Daily User,Occasional Assistance,57+,Growth Account,Monitor Engagement
CUST100036,Charles Brown,Female,62,Singapore,Healthcare,Medium,Standard,Monthly,79.51,40,Yes,29,98,13,413.58,Low,No,6,13.1,9,26,-36,5,3180.4,28,Credit Card,2,No,,Established Customer,Daily User,Frequent Assistance,57+,Business Account,Monitor Engagement
CUST100037,Ananya Anderson,Female,59,United Kingdom,Manufacturing,Enterprise,Premium,Annual,156.91,7,Yes,3,52,15,396.42,Low,Yes,7,14.1,4,17,-1,4,1098.37,2,Bank Transfer,4,No,,New Customer,Consistent User,Frequent Assistance,57+,Growth Account,Monitor Engagement
CUST100038,Susan Miller,Female,37,United States,Healthcare,Small,Basic,Monthly,34.03,67,No,29,84,3,339.71,Low,Yes,15,8.7,4,6,-70,4,2280.01,17,Credit Card,6,Yes,Competitor,Loyal Customer,Rare Visitor,Ongoing Support,37-46,Business Account,Monitor Engagement
CUST100039,Matthew Lee,Female,50,United States,IT,Medium,Basic,Quarterly,21.75,70,No,22,4,15,329.28,High,Yes,7,6,8,5,60,2,1522.5,24,Credit Card,2,No,,Loyal Customer,Rare Visitor,Frequent Assistance,47-56,Growth Account,Immediate Outreach
CUST100040,Emma Wilson,Male,47,Germany,Healthcare,Enterprise,Basic,Monthly,42.33,31,Yes,2,51,15,132.4,Low,No,3,19.9,0,16,99,2,1312.23,28,Credit Card,8,No,,Established Customer,Consistent User,Occasional Assistance,47-56,Growth Account,Monitor Engagement
CUST100041,Michael Harris,Female,39,Australia,Finance,Small,Standard,Monthly,70.49,48,No,15,57,10,392.89,High,Yes,11,44.2,9,20,-41,5,3383.52,19,Bank Transfer,3,No,,Loyal Customer,Consistent User,Ongoing Support,37-46,Business Account,Monitor Engagement
CUST100042,Margaret Perez,Female,49,Germany,Retail,Small,Basic,Monthly,46.03,34,Yes,23,120,12,92.02,Medium,Yes,3,21,9,0,40,4,1565.02,7,Paypal,6,No,,Established Customer,Rare Visitor,Occasional Assistance,47-56,Growth Account,Monitor Engagement
CUST100043,Patricia Martinez,Male,62,Netherlands,Retail,Small,Basic,Monthly,20,29,No,11,4,10,182.82,Low,Yes,8,35.8,2,23,97,5,580,20,Credit Card,1,No,,Established Customer,Consistent User,Frequent Assistance,57+,Starter Account,Monitor Engagement
CUST100044,Fatima Harris,Female,21,United States,Retail,Small,Standard,Monthly,96.81,39,Yes,14,109,10,458.34,Low,No,7,14,10,10,71,4,3775.59,18,Paypal,0,No,,Established Customer,Occasional User,Frequent Assistance,18-26,Enterprise Account,Monitor Engagement
CUST100045,Sarah Harris,Male,61,United States,Manufacturing,Small,Basic,Annual,20,38,Yes,13,3,2,11.37,High,No,10,18.1,5,27,59,3,760,6,Credit Card,4,No,,Established Customer,Daily User,Ongoing Support,57+,Starter Account,Monitor Engagement
CUST100046,Hans Lopez,Male,36,United States,IT,Medium,Standard,Monthly,95.82,65,Yes,26,47,7,262.26,Low,No,1,4.6,2,23,16,4,6228.3,3,Credit Card,4,No,,Loyal Customer,Consistent User,Occasional Assistance,37-46,Enterprise Account,Loyal Customer
CUST100047,Marie Rodriguez,Female,58,Canada,Retail,Small,Basic,Quarterly,20,39,Yes,21,32,14,108.53,Low,Yes,6,40.5,8,17,58,2,780,15,Credit Card,3,No,,Established Customer,Consistent User,Frequent Assistance,57+,Starter Account,Monitor Engagement
CUST100048,Elizabeth Lee,Female,24,United States,Education,Medium,Standard,Annual,76.49,71,Yes,0,65,9,118.63,Low,No,5,19.5,4,14,22,1,5430.79,23,Credit Card,6,No,,Loyal Customer,Occasional User,Occasional Assistance,18-26,Enterprise Account,Monitor Engagement
CUST100049,Margaret Jones,Male,60,Canada,IT,Medium,Basic,Monthly,20,21,Yes,17,33,9,147.9,Medium,Yes,12,25.5,1,19,30,5,420,4,Paypal,8,No,,Developing Customer,Consistent User,Ongoing Support,57+,Starter Account,Monitor Engagement
CUST100050,Hans Garcia,Female,40,India,Retail,Medium,Standard,Monthly,56.44,69,Yes,15,7,1,389.97,Medium,Yes,9,8.3,4,9,73,3,3894.36,22,Credit Card,8,No,,Loyal Customer,Occasional User,Frequent Assistance,37-46,Enterprise Account,Monitor Engagement
CUST100051,Olga Smith,Male,62,United States,IT,Enterprise,Basic,Annual,20,49,Yes,16,100,8,35.27,Low,Yes,1,28.6,6,20,-81,1,980,5,Credit Card,5,No,,Loyal Customer,Consistent User,Occasional Assistance,57+,Growth Account,Loyal Customer
CUST100052,Ahmed White,Female,39,Singapore,Healthcare,Medium,Standard,Monthly,82.34,62,Yes,10,6,2,381.98,Medium,Yes,15,5.5,0,1,75,2,5105.08,28,Bank Transfer,3,No,,Loyal Customer,Rare Visitor,Ongoing Support,37-46,Enterprise Account,Immediate Outreach
CUST100053,Ahmed Martin,Male,54,Singapore,Finance,Small,Basic,Monthly,31.21,38,Yes,7,37,6,245.68,Medium,No,7,24,1,21,-6,3,1185.98,12,Bank Transfer,7,No,,Established Customer,Consistent User,Frequent Assistance,47-56,Growth Account,Monitor Engagement
CUST100054,Charles Perez,Male,47,Australia,IT,Small,Basic,Monthly,44.13,35,No,15,95,5,120.36,Medium,Yes,11,43.1,4,11,-28,4,1544.55,26,Paypal,5,No,,Established Customer,Occasional User,Ongoing Support,47-56,Growth Account,Monitor Engagement
CUST100055,Barbara White,Male,29,France,Retail,Medium,Standard,Monthly,78.59,12,Yes,24,86,9,283.81,Low,Yes,15,45.4,3,7,1,3,943.08,16,Paypal,5,No,,Developing Customer,Rare Visitor,Ongoing Support,27-36,Growth Account,Monitor Engagement
CUST100056,Matthew Wilson,Male,31,India,Finance,Medium,Standard,Monthly,75.94,21,Yes,23,44,15,98.91,Medium,No,4,44.7,1,26,35,3,1594.74,28,Bank Transfer,7,No,,Developing Customer,Daily User,Occasional Assistance,27-36,Growth Account,Monitor Engagement
CUST100057,Daniel Moore,Male,44,United Kingdom,IT,Medium,Basic,Annual,50.62,6,Yes,13,66,14,431.84,Low,Yes,8,44.1,10,21,-89,5,303.72,13,Bank Transfer,5,No,,New Customer,Consistent User,Frequent Assistance,37-46,Starter Account,Monitor Engagement
CUST100058,Mary Jones,Female,42,Australia,Healthcare,Medium,Standard,Monthly,77.6,69,Yes,22,81,5,384.96,Low,Yes,5,28.5,4,8,-94,5,5354.4,27,Bank Transfer,6,No,,Loyal Customer,Occasional User,Occasional Assistance,37-46,Enterprise Account,Monitor Engagement
CUST100059,Elizabeth Brown,Female,48,United States,Healthcare,Medium,Basic,Annual,20,23,Yes,20,74,13,155.27,Medium,Yes,3,12.7,10,24,81,2,460,14,Credit Card,2,No,,Developing Customer,Daily User,Occasional Assistance,47-56,Starter Account,Monitor Engagement
CUST100060,Sarah Lee,Female,57,Canada,IT,Medium,Basic,Monthly,20,11,Yes,7,70,14,63.69,Medium,Yes,14,38.4,4,9,-52,5,220,20,Paypal,5,Yes,Low Usage,New Customer,Occasional User,Ongoing Support,57+,Starter Account,Monitor Engagement
CUST100061,Priya Anderson,Male,55,France,Education,Small,Standard,Monthly,98.24,55,Yes,26,65,10,475.47,Low,No,12,4.1,1,8,-38,5,5403.2,11,Credit Card,5,No,,Loyal Customer,Occasional User,Ongoing Support,47-56,Enterprise Account,Monitor Engagement
CUST100062,Pierre Taylor,Female,22,Germany,Manufacturing,Medium,Premium,Quarterly,149.08,3,Yes,4,105,13,439.72,Medium,Yes,12,46.8,4,4,-90,5,447.24,28,Credit Card,8,Yes,Poor Support,New Customer,Rare Visitor,Ongoing Support,18-26,Starter Account,Monitor Engagement
CUST100063,Patricia Thompson,Male,42,United Kingdom,Finance,Small,Standard,Quarterly,71.3,57,Yes,25,103,8,230.93,Medium,No,12,37.3,4,10,0,5,4064.1,10,Credit Card,3,No,,Loyal Customer,Occasional User,Ongoing Support,37-46,Enterprise Account,Monitor Engagement
CUST100064,Matthew Martin,Female,26,Germany,Manufacturing,Small,Basic,Annual,20,39,No,16,70,12,352.08,Low,Yes,0,,6,3,-43,1,780,13,Bank Transfer,8,No,,Established Customer,Rare Visitor,No Support Needed,27-36,Starter Account,Monitor Engagement
CUST100065,Matthew Taylor,Female,43,Netherlands,Manufacturing,Enterprise,Standard,Monthly,46.91,55,Yes,21,108,12,353.33,High,Yes,12,46.6,3,23,97,4,2580.05,7,Bank Transfer,1,No,,Loyal Customer,Consistent User,Ongoing Support,37-46,Business Account,Monitor Engagement
CUST100066,Patricia Taylor,Male,44,United States,Healthcare,Small,Standard,Monthly,99.94,44,Yes,23,60,11,153.24,Low,Yes,14,29.6,8,3,19,1,4397.36,16,Credit Card,6,No,,Established Customer,Rare Visitor,Ongoing Support,37-46,Enterprise Account,Immediate Outreach
CUST100067,Ahmed Martinez,Male,65,United Kingdom,Manufacturing,Small,Basic,Annual,20,58,No,11,97,9,246.35,Medium,Yes,12,2.5,5,8,-3,2,1160,22,Credit Card,2,Yes,Missing Features,Loyal Customer,Occasional User,Ongoing Support,57+,Growth Account,Immediate Outreach
CUST100068,Anthony Smith,Female,37,United States,Education,Small,Standard,Monthly,55.59,49,Yes,30,78,7,64.7,Medium,Yes,0,,4,2,-92,5,2723.91,29,Credit Card,2,No,,Loyal Customer,Rare Visitor,No Support Needed,37-46,Business Account,Monitor Engagement
CUST100069,Susan Wilson,Male,40,Netherlands,Education,Small,Basic,Monthly,20.62,57,Yes,3,37,3,407.25,Low,Yes,11,32.3,8,27,55,4,1175.34,26,Credit Card,5,No,,Loyal Customer,Daily User,Ongoing Support,37-46,Growth Account,Monitor Engagement
CUST100070,Ava Miller,Female,43,Australia,IT,Small,Standard,Monthly,63.35,30,Yes,0,13,4,136.93,High,Yes,1,3.4,8,14,90,5,1900.5,4,Credit Card,3,No,,Established Customer,Occasional User,Occasional Assistance,37-46,Business Account,Monitor Engagement
CUST100071,Barbara Gonzalez,Female,25,United states,Education,Medium,Premium,Monthly,141.65,25,No,23,40,10,351.08,Low,Yes,2,22.3,1,5,-44,3,3541.25,21,Credit Card,4,No,,Established Customer,Rare Visitor,Occasional Assistance,18-26,Enterprise Account,Monitor Engagement
CUST100072,Ava Sanchez,Male,22,Germany,IT,Small,Basic,Monthly,35.75,61,No,9,20,4,241.74,Low,No,5,33.7,9,28,-95,3,2180.75,12,Credit Card,3,Yes,Low Usage,Loyal Customer,Daily User,Occasional Assistance,18-26,Business Account,Monitor Engagement
CUST100073,Mary Davis,Male,52,Australia,Retail,Enterprise,Basic,Monthly,42.18,23,Yes,2,85,1,202.11,High,Yes,14,40.1,10,30,98,2,970.14,0,Credit Card,6,Yes,Price,Developing Customer,Daily User,Ongoing Support,47-56,Growth Account,Monitor Engagement
CUST100074,Olga Johnson,Male,33,United States,IT,Small,Basic,Monthly,24.7,49,No,25,83,12,42.74,High,Yes,9,8.3,3,27,-6,3,1210.3,16,Credit Card,4,No,,Loyal Customer,Daily User,Frequent Assistance,27-36,Growth Account,Monitor Engagement
CUST100075,Pierre Rodriguez,Female,36,France,Education,Medium,Basic,Monthly,29.88,12,No,3,50,5,74.1,Medium,Yes,12,4.4,9,3,-2,2,358.56,21,Credit Card,8,Yes,Performance Issues,Developing Customer,Rare Visitor,Ongoing Support,37-46,Starter Account,Immediate Outreach
CUST100076,Liam Rodriguez,Male,65,India,Education,Medium,Standard,Annual,56.6,61,Yes,16,70,13,385.1,Medium,Yes,6,10.7,1,3,-73,3,3452.6,5,Paypal,1,No,,Loyal Customer,Rare Visitor,Frequent Assistance,57+,Business Account,Monitor Engagement
CUST100077,Sarah Martin,Male,31,United States,Healthcare,Small,Standard,Quarterly,79.26,23,No,4,105,9,460.77,Medium,Yes,12,21.9,7,1,-92,1,1822.98,12,Bank Transfer,1,Yes,Poor Support,Developing Customer,Rare Visitor,Ongoing Support,27-36,Business Account,Immediate Outreach
CUST100078,Jennifer Taylor,Male,61,Netherlands,Finance,Small,Standard,Monthly,66.48,62,Yes,3,49,15,499.7,Low,Yes,0,,5,25,12,3,4121.76,9,Paypal,5,No,,Loyal Customer,Daily User,No Support Needed,57+,Enterprise Account,Monitor Engagement
CUST100079,Daniel White,Female,48,United States,IT,Medium,Standard,Annual,64.9,68,Yes,17,68,11,161.12,Medium,Yes,4,34.3,2,30,-23,5,4413.2,5,Credit Card,3,No,,Loyal Customer,Daily User,Occasional Assistance,47-56,Enterprise Account,Monitor Engagement
CUST100080,Ava Martin,Female,32,United States,IT,Small,Basic,Quarterly,40.03,64,Yes,6,11,6,9.21,Low,No,1,31.6,3,8,-64,4,2561.92,0,Bank Transfer,4,No,,Loyal Customer,Occasional User,Occasional Assistance,27-36,Business Account,Monitor Engagement
CUST100081,Thomas Gonzalez,Female,63,Canada,Manufacturing,Small,Basic,Monthly,20,48,Yes,7,9,9,155.5,Low,Yes,11,24.6,2,30,81,5,960,14,Credit Card,0,No,,Loyal Customer,Daily User,Ongoing Support,57+,Growth Account,Monitor Engagement
CUST100082,Thomas Harris,Female,48,United States,Retail,Medium,Premium,Quarterly,166.09,43,Yes,11,17,3,260.67,Medium,No,9,45.9,3,4,-16,4,7141.87,29,Paypal,2,No,,Established Customer,Rare Visitor,Frequent Assistance,47-56,Enterprise Account,Monitor Engagement
CUST100083,Richard Garcia,Female,34,Australia,Retail,Small,Premium,Annual,149.73,34,Yes,8,107,3,492.69,Low,No,6,45.2,0,4,-26,1,5090.82,20,Credit Card,2,No,,Established Customer,Rare Visitor,Frequent Assistance,27-36,Enterprise Account,Immediate Outreach
CUST100084,Susan Smith,Female,40,United Kingdom,Education,Enterprise,Basic,Monthly,20,8,Yes,30,20,9,145.63,Low,No,8,19.7,8,17,78,2,160,2,Credit Card,7,No,,New Customer,Consistent User,Frequent Assistance,37-46,Starter Account,Monitor Engagement
CUST100085,Robert Williams,Male,37,United States,Healthcare,Small,Premium,Annual,176.97,49,Yes,12,18,6,267.1,Low,Yes,9,13.7,2,16,17,5,8671.53,8,Credit Card,3,No,,Loyal Customer,Consistent User,Frequent Assistance,37-46,Enterprise Account,Monitor Engagement
CUST100086,Fatima Perez,Male,58,Netherlands,Finance,Small,Premium,Monthly,162.66,16,Yes,17,13,6,466.39,Low,Yes,0,,10,26,-98,3,2602.56,30,Bank Transfer,7,No,,Developing Customer,Daily User,No Support Needed,57+,Business Account,Monitor Engagement
CUST100087,Ananya Wilson,Female,41,United Kingdom,Finance,Medium,Standard,Monthly,45.12,39,No,27,61,7,10.14,Medium,No,11,28.6,10,28,-65,3,1759.68,2,Paypal,4,No,,Established Customer,Daily User,Ongoing Support,37-46,Business Account,Monitor Engagement
CUST100088,Wei Jones,Male,21,Canada,IT,Small,Standard,Monthly,85.13,14,Yes,12,100,3,12.28,Low,No,0,,5,27,-24,4,1191.82,27,Credit Card,2,No,,Developing Customer,Daily User,No Support Needed,18-26,Growth Account,Loyal Customer
CUST100089,Liam Thomas,Male,51,United Kingdom,Education,Enterprise,Basic,Monthly,34.51,29,Yes,29,55,15,159.07,Low,Yes,5,7,3,2,-93,1,1000.79,23,Credit Card,5,No,,Established Customer,Rare Visitor,Occasional Assistance,47-56,Growth Account,Monitor Engagement
CUST100090,Emma Jones,Female,54,France,Education,Small,Premium,Monthly,131.47,36,Yes,21,102,9,334.48,Low,Yes,15,21.4,0,20,-81,4,4732.92,13,Paypal,1,No,,Established Customer,Consistent User,Ongoing Support,47-56,Enterprise Account,Monitor Engagement
CUST100091,Karen Lee,Female,38,United States,Finance,Medium,Basic,Annual,24.5,38,Yes,18,27,15,123.4,Medium,Yes,3,45.8,5,26,90,3,931,12,Credit Card,2,No,,Established Customer,Daily User,Occasional Assistance,37-46,Growth Account,Monitor Engagement
CUST100092,Karen Wilson,Male,62,United States,Healthcare,Medium,Basic,Quarterly,37.71,12,No,10,35,14,345.73,Low,No,5,39.2,4,24,10,2,452.52,8,Credit Card,8,Yes,Poor Support,Developing Customer,Daily User,Occasional Assistance,57+,Starter Account,Monitor Engagement
CUST100093,Michael Lopez,Male,39,France,Healthcare,Small,Standard,Annual,43.15,60,Yes,4,54,10,369.18,Medium,Yes,2,41.5,1,4,-11,4,2589,18,Credit Card,1,No,,Loyal Customer,Rare Visitor,Occasional Assistance,37-46,Business Account,Monitor Engagement
CUST100094,Elizabeth Martinez,Male,32,United States,Retail,Enterprise,Premium,Quarterly,162.37,23,Yes,9,20,1,48.93,High,No,0,,3,17,-8,3,3734.51,27,Credit Card,8,No,,Developing Customer,Consistent User,No Support Needed,27-36,Enterprise Account,Monitor Engagement
CUST100095,Ananya Jackson,Male,52,France,Retail,Medium,Premium,Annual,144.82,47,Yes,16,28,4,359.77,High,No,2,9.7,8,18,6,2,6806.54,5,Paypal,7,No,,Established Customer,Consistent User,Occasional Assistance,47-56,Enterprise Account,Loyal Customer
CUST100096,Anthony Hernandez,Male,25,Australia,IT,Small,Premium,Monthly,147.96,17,Yes,4,53,6,106.29,High,Yes,15,39.4,6,19,-69,2,2515.32,10,Credit Card,7,Yes,Low Usage,Developing Customer,Consistent User,Ongoing Support,18-26,Business Account,Monitor Engagement
